sentID.BTEC	split	BEI	ALEX	AMM	ASW	ALE	CAI	DAM	JER	SAL	MSA	DOH	RAB	TUN	ALG	BAG	BAS	BEN	FES	JED	KHA	MOS	MUS	ARI	SAN	SFX	TRI
4326	corpus-6-test-corpus-26-train	هيي شبقتني من الجنب.	ضربتنى بالجنب.	ضربتني من الجنب.	هي خبطتني من الجنب.	ضربتني عالطرف.	خبطتني بالجنب.	طرقتني.	لطشتني بالجنب.	ضربتني بالجنب.	لقد انتقدتني ضمنا .	هي دشت علي من الجانب.	دفعاتني من الجنب.	دزتني في الجنب.	اعطاني ضربة من الجانب.	ضربتني من الجانب.	ضربتني من الجانب.	هي خبطتني من الجنب.	ضربتني من الجنب.	ضربتني من الجمب.	هي ضربتني بالجنبة.	زاغتني بالجانب.	هي ضربتني.	ضربتني في الجنب.	هي ضربتني بالجمب.	ضربتني في الجنب.	ضربتني من الجنب.
4327	corpus-6-dev	خود هيداك المخرج هونيك و بروم عاليمين، عمول معروف .					اطلع من المخرج ده و احود يمين، من فضلك .				خذ هذا المخرج هناك واستدر يمينا ، من فضلك .	اطلع من ذيك الطلعة هناك ولف يمين، لو سمحت.	خرج من ديك البلاصة و دور على ليمن، عافاك.	اخرج من غادي و دور عاليسار، عيشك.													
4329	corpus-6-train	بعتذر. معي الرقم الغلط.					اسف . طلبت الرقم غلط .				أنا آسف . فقد طلبت الرقم الخطأ .	آسف. الرقم غلط.	اسمح ليا، عيطت في نمرة غالاط.	سامحني، غالط في النومرو.													
4330	corpus-6-train	بتعرف كيف بوصلو؟					تعرف أزاي توصله؟				هل تعرف كيف تصل إليه ؟	تعرف شلون توصل له؟	واش عارف كيفاش نقدر نلقاه؟	تعرف كيفاش تتحصل عليه؟													
4333	corpus-6-train	الخط مشغول .					الخط مشغول .				الخط مشغول .	الخط مشغول.	هاد الخط مشغول.	الخط مشغول.													
4334	corpus-6-train	وين المخرج تبع مكنة الحلاقة الكهربائية؟					فين بريزة الكهربا اللي بتاعة مكنه الحلاقة؟				أين منفذ بيع ماكينة الحلاقة ؟	وين البلك حق مكينة الحلاقة؟	فين هو البريز ديال الطوندوز؟	منين نشري ماكينة حجامة بالضو بالرخيص؟													
4335	corpus-6-test-corpus-26-train	فيي إجي عالتنتين.	أنا ممكن أوصل الساعة اتنين.	بقدر آجي هون على الساعة تنتين.	ممكن أعدي على الساعة اتنين.	بحسن أجي عالتنتين.	ممكن أعدي عليك عالساعة اتنين .	فيني اجي عالساعة تنتين.	بقدر أجي على التنتين.	بقدر اجي على الثنتين .	يمكن أن أحضر في الساعة الثانية .	اقدر اجي عندك الساعة ثنتين.	نقدر نجي مع الجوج.	انجم نتعدالك مع الساعتين.	نقدر نجي على الزوج بعد الظهر.	اكدر اجي الساعة ثنتين.	اكدر اجي بالثنيتن.	أنا نقدر نجي على الاثنين.	ممكن نجي أكثر من جوج.	اقدر اجي على اتنين.	ممكن اجي عند التانية.	اطيق اجي بالثنتين.	اقدر ايي على الثنتين.	اقدر اجي على الساعة ثنتين.	شا اقدر امر على ثنتين.	انجم نجي الساعتين.	نقدر نجي الساعة اتنين.
4337	corpus-6-train	فيي شوف واحد تاني؟					ممكن اشوف واحد تاني؟				هل يمكن أن أرى أخرى ؟	ممكن اشوف وحدة ثانية؟	ممكن نشوف واحد اخر؟	انجم نشوف لخرى؟													
4338	corpus-6-dev	وين السلم؟					فين السلالم؟				أين السلم ؟	وين الدرج؟	فين هوما الدروج؟	وينو الدروج؟													
4340	corpus-6-train	تمام . حامل شي شتل أو أكل؟					تمام . عامل خطط للأكل؟				حسنا . هل تحمل أي نباتات أو أطعمة ؟	اوكي. معاك اي نباتات او اكل؟	مزيان. واش هاز معاك شي اعشاب ولا ماكلة؟	باهي. هازز معاك نبات ولا ماكلة؟													
4341	corpus-6-test-corpus-26-train	هودي الشنطات من رحلة جيه إيه إل صفر واحد؟	هى دى الشنط اللى من الرحلة جيه إيه إل زيرو واحد؟	هي هاي الشنط اللي من رحلة الطيران جيه ايه إل صفر واحد؟	هي دي شنط رحلة جيه إيه إل زيرو واحد؟	هي الشناتي من الرحلة جيه أيه ال صفر واحد؟	هى الشنط ديه من رحلة جيه إيه إل زيرو واحد؟	هدول الشناتي من رحلة جيه إيه إل رقم صفر واحد؟	هي شناتي رحلة جيه إيه إل رقم صفر واحد؟	هاي الشناتي من رحلة جيه ايه ال صفر واحد؟	هل هذه هي حقائب الرحلة جال صفر واحد ؟	هذي الأمتعة من رحلة جيه إيه إل صفر واحد؟	واش هاد الامتعة من الرحلة ديال جيه إيه إل صفر واحد؟	هذا باقاج رحلة جيه إيه إل صفر واحد؟	اذا الأمتعة تع الرحلة جيه إيه إل صفر واحد؟	هل هاي الجنط مال رحلة جيه إيه إل صفر واحد؟	هاي حقائب الرحلة جيه ايه ال صفر واحد؟	هضي الشناطي من رحلة جيه إيه ال صفر واحد؟	واش هادي الأمتعة من الرحلة ديال جيه ايه ال صفر واحد؟	دي الشنط من رحلة جيه إيه إل صفر واحد؟	هل العفش دا من الرحلة جيه ايه ال صفر واحد؟	هل هاذي الامتعه من رحله جي ايه ال صفر واحد؟	هل هذه الأمتعة من رحلة جيه إيه ال صفر واحد؟	هذي الحقائب من الرحلة جيه إيه أل صفر واحد؟	هل هذلا الشنط من رحله جيه إيه إل صفر واحد؟	هذا باقاج الرحلة جيه إيه إل صفر واحد؟	هل هادو الشنطي متاع الطيارة رقم جي ايه ال صفر واحد؟
4342	corpus-6-train	أكيد إنو. مرحبا. تعوا نروح عالبحر .					ده أكيد . اهلا . يالا نروح الشاطئ .				هي بالتأكيد . مرحبا . هيا نذهب إلي الشاطئ .	اي حده. هي. خل نروح الساحل.	معلوم. أهيا، يالاه نمشيو للبحر.	بالطبيعة. هاي. هيا نمشيو للبحر.													
4346	corpus-6-test-corpus-26-train	هيدي أول رحلة إلي عباريس.	دى أول رحلة ليا لباريس.	هاي رحلتي الأولى لباريس.	دي أول رحلة ليا لباريس.	هي أول روحة إلي ع باريس.	ديه اول رحلة ليا لباريس .	هي أول رحلة إلي على باريس.	هي أول سفرة الي لباريس.	هاي أول رحلة إلي لباريس.	هذه هي رحلتي الأولى إلى باريس .	هذي اول رحلة لي لباريس.	هادي أول رحلة ديالي لباريس.	هاذي اول مرة تمشي لباريز.	هاذا أول سفر لي نحو باريس.	هاي اول سفرة الي لباريس.	هاي رحلتي الاولى لباريس.	هضي اول رحلة ليا لباريس.	هادي هي أول رحلة لي لباريس.	دي اول رحلة لي لباريس.	دي رحلتي الأولى لباريس.	هذي اول سفره اللي لباريس.	هاذي أول رحلة لي إلى باريس.	هذي اول رحلة لي لباريس.	هذه رحلتي الاولى لباريس.	هذه رحلتي لولة لباريس.	هادي أول رحلة ليا لي باريس.
4348	corpus-6-test-corpus-26-train	فيك تقدر التكلفة قبا ما تبلش تشتغل عليها؟	ممكن تقدر التكلفة قبل ما تبدأ الشغل فيه؟	بتقدر تقدر التكلفة قبل ما تبدا شغل فيه؟	ممكت تقدر هتكلف قد أيه قبل متبتدي شغل؟	خرج تقدرلي شقد بكلف قبل ما تبدا شغل عليه؟	ممكن تقدر التكلفة قبل ما تبدأ تشتغل فيها؟	ممكن تقدر التكلفة قبل ما تبلش تشتغله؟	بتقدر تقدر التكاليف قبل ما تبلش شغل؟	بتقدر تقدر التكلفة قبل ما تبلش شغل؟	هل لك أن تقدر التكلفة قبل أن تبدأ العمل فيها ؟	ممكن تقدر السعر قبل ما تبتدي تشتغل فيه؟	واش ممكن تحدد السعر ديالو قبل متبدا فيه الخدمة؟	ميسالش تعطيني فكرة عالسوم قبل ما تبدى تخدم؟	تقدر تديرلي تقدير للسومة قبل ما نبداو الخدمة؟	تكدر تقدر الكلفة قبل لا تبدي تشتغل؟	تكدر تقدر الكلفة قبل لا تشتغل عليه؟	تقدر تثمن السعر قبل ما تبدى تشتغل عليه؟	واش ممكن تقدر التكلفة قبل ما تبدا الخدمة فيه؟	ممكن تقولي السعر تقريباً قبل ما تبدا تشتغل عليه؟	ممكن تخمن التكلفة قبل ما تبدأ الشغل فيه؟	تطيق تحدد الكلفه قبل ما تبدي تشتغل علينو؟	هل يمكن تقدير التكلفة قبل نبدا في العمل على ذلك؟	تقدر تتوقع القيمة قبل ما تشتغل عليه؟	تقدر تخمن التكلفه قبل ما تبدا تشتغل عليه؟	تنجمشي تارالي حسب التقريب بقداش السوم قبل ما نبدا نخدم؟	تقدر تقدر التكلفه من قبل ما تبدأ الخدمه؟
4350	corpus-6-train	هوي بنفس الإتجاه متل هيداك المبنى؟					هى في نفس ناحية المبنى ده؟				هل هذا في نفس الاتجاه مثلما الحال مع المبنى ؟	هو في نفس جهة ذاك المبنى؟	واش فنفس الإتجاه ديال داك المبنى؟	في نفس الاتجاه مع البنية هاذيكا؟													
4354	corpus-6-train	مبين كتير مبهرج.					شكله مبهرج قوي .				يبدو مبهرجا .	شكله وايد حفلة.	باين مبهرج بزاف.	ياسر مقوعر.													
4355	corpus-6-train	أنا كاتسوهيكو ناكانوما. في شي رسايل إلي؟					انا كاتسويكو ناكونوما . فيه رسايل ليا؟				أنا كاتسوهيكو ناكانوما . هل من رسائل لي ؟	انا كاتسوهيكو ناكانوما. في اي رسايل لي؟	"انا ""كاتسوهيكو ناكانوما"". واش جاتني شي رسالة؟"	انا كاتسوهيكو ناكانوما. عندي ميساجات؟													
4356	corpus-6-train	عكل حال، بحجز نفس الرحلة لإنو عنا مطرح إلك؟					على اى حال، مفروض احجز نفس الرحلة؟				علي أي حال ، هل لي أن أحجز نفس الرحلة لأن هناك مكان لك .	على اي حال، احجز نفس الرحلة لأن عندنا مكان لك؟	لمهم، واش نحجز ليك فنفس الطيارة حيت كاينة بلاصة ليك؟	حاسيلو، نحجزلك في نفس الطيارة خاتر فما بلاصة ليك؟													
4357	corpus-6-train	ممكن غير حجزي هلأ؟					ينفع أغير حجري دلوقتي؟				هل من الممكن تغيير حجزي الآن ؟	ممكن اغير حجزي الحين؟	واش ممكن نبدل الحجز ديالي دابا؟	انجم نبدل الحجز متاعي توة؟													
4358	corpus-6-test-corpus-26-train	فوت، عمول معروف .	إدخل. من فضلك.	تفضل، لو سمحت.	أدخل، لو سمحت.	تفضل، إذا سمحت.	ادخل، من فضلك .	تفضل، رجاءً.	أدخل، لو سمحت.	فوت لو سمحت .	تعالى ، من فضلك .	حياك.	تفضل، عافاك.	ادخل، يعيشك.	ادخل، من فضلك.	تفضل، رجاءً.	ادخل، رجاءا.	خش، لو سمحت.	دخل، عافاك.	ادخل، لو سمحت.	أدخل، من فضلك.	تفضل، رجاءا.	ادخل من فضلك.	تفضل، لو سمحت.	ادخل، لو سمحت.	ادخل، من فضلك.	خش، تفضل.
4361	corpus-6-train	الإسم هوي سوزوكي .					الاسم سوزوكي .				الاسم سوزوكي .	الاسم سوزوكي.	"السمية هي ""سوزوكي""."	الاسم سوزوكي.													
4362	corpus-6-train	إسمي يوسوكي تاناكا، و هلأ عمبتصل من المطار .					اسمي يوسوكي تاناكا . و انا بأتكلم من المطار .				اسمي يوسوكي تاناكا ، وأنا الآن اتصل من المطار .	اسمي يوسوكي تاناكا، والحين انا متصل من المطار.	"سميتي ""يوسوكي طاناكا""، و أنا دابا كيعيط من المطار."	اسمي يوسوكي تاناكا، و توا نكلم فيك مالمطار.													
4363	corpus-6-train	مستويين؟					ناضجة؟				هل هي ناضجة ؟	ناضجين؟	واش نضجو؟	طايبينشي؟													
4364	corpus-6-test-corpus-26-test	رحلة المشي لمسافات طويلة لازم تكون كتير بتسلي.	الفسحة بتاعتنا المفروض تكون ممتعة جدا.	رحلة المشي تبعتنا لازم يكون فيها كتير متعة.	التمشية بتاعتنا المفروض تبقى مليانة متعة.	طلعة التمشاية تبعتنا رح تكون حلوة كتير.	رحلة المشي بتاعتنا لازم تكون مليانه بالمتعة .	رح نتسلى كتير برحلة المشي.	رحلة التسلق تاعتنا لازم تكون مسلية.	رحلة المشي تبعتنا لازم تكون ممتعة .	رحلتنا للتخييم يجب أن تكون ممتعة .	رحلة المشي مالتنا بتكون واجد حلوة.	الرحلة ديالنا ديال المشي غاتكون ممتعة بزاف.	رحلة التسلق متاعنا بش تكون جو عالاخر.	الجولة تاعنا رايحا تكون هايلة.	سفرتنا مشي على الاقدام لازم تكون هوايه ممتعة.	رحلتنا مال التسلق راح تكون ممتعة كلش.	رحلتنا للمشي الطويل المفروض يكون فيها جو بكل.	رحلة ديالنا ديال المشي لمسافات طويلة خاص يكون فيها بزاف ديال المرح.	رحلة المشي حقتنا لازم تكون فيها بسطة كثير.	رحلة المشي حقتنا ح تكون متعة شديد.	رحلة المشي مالتنه لازم تكون كلش ممتعه.	يجب أن تكون لدينا رحلة المشي لمسافات طويلة لكثير من المرح.	رحلتنا الهايكنج بتكون فلة مرة.	رحله المشي الطويل حقنا المفروض توقع ممتعه قوي.	مشيتنا باش تكون هايلة.	رحلة المشي متاعنا حتكون جو مليح.
4365	corpus-6-test-corpus-26-train	وين منركب اللانج؟	إحنا بنركن المركب فين؟	وين راح نصف القارب؟	إحنا مرسين المركب فين؟	من وين منطلع عالقارب؟	منين ناخد المركب؟	من وين منركب بالقارب؟	من وين نركب القارب؟	وين نركب على القارب؟	متي سنستقل القارب ؟	وين نركب القارب؟	فين نركنو القارب؟	وقتاش نركبو في البطو؟	منين نطلعو للباخرة؟	وين نوكف القارب؟	وين ننزل البلم؟	وين نركبو القارب؟	فين ممكن نركب القارب؟	من فين نصعد للسفينة؟	وين نحن نركب القارب؟	وين نركن القارب؟	وين نركب القارب؟	وين نصعد للقارب؟	من اين نطلع للقارب؟	منين نطلعوا للبابور؟	من وين نركبو المركب؟
4366	corpus-6-dev	ما في أذى مقصود .					مافيش أذى مقصود .				لا أقصد أي أذية .	ما قصدت الضرر.	مقصدتش الأدية.	مانيش بالعاني.													
4367	corpus-6-train	وين الصالة؟					فين الطرقة؟				أين اللوبي ؟	وين اللوبي؟	فين جا الرواق؟	وينو الاستقبال؟													
4368	corpus-6-train	وحدة من شنطاتي تضررت. وين بروح لتقديم مطالبة؟					فيه شنطة من شنطي باظت . أقدر اشتكي فين؟				تضررت إحدى حقائبي . إلى أين أتوجه لأطلب التعويض ؟	وحدة من شناطي تضررت، وين اروح حق اقدم شكوى؟	شانطة من الشنط دياولي تخصرات. فين نمشي إلا بغيت نتشكى؟	واحد من سيكاني تضرر. وين انجم نشكي؟													
4369	corpus-6-train	كتير ضجة.					الصوت عالي قوي .				إنه مرتفع الصوت للغاية .	واجد عالي.	الصوت مجهد بزاف.	ياسر صوت عالي.													
4371	corpus-6-train	فيك تنزلنا شنطاتنا، عمول معروف؟					ممكن تنزل الشنط، من فضلك؟				هل لك أن تنزل لنا حقائبنا ، من فضلك ؟	ممكن تخليهم ينزلون شناطنا، لو سمحت؟	ممكن تهبط لينا الأمتعة ديالنا، عافاك؟	تهبطلنا دبشنا، عيشك؟													
4373	corpus-6-test-corpus-26-train	ما عنا شنطة لهالمبلغ فرح حطن بهالكيس البلاستيك الكبير .	إحنا معندناش شنطة للكمية دى يبقى هحطه فى الشنطة البلاستيك الكبيرة دى.	ما عنا شنتة توسع كل هاي الكمية عشان هيك راح أحطها في شنتة البلاستيك الكبيرة هاي.	إحنا معندناش شنطة تشيل الكمية دل كلها فنحطها فى الكيس البلستيك الكبير ده.	ما عنا شنتاية لهالكمية بقا رح أحطو بهالكيس الكبير.	ماعندناش شنطة تشيل كل ده علشان كده حأحطهم في شنطة بلاستيك كبيرة .	ما عنا كيس لهالكمية لهيك رح حطه بهاد الكيس النايلون الكبير.	ما في عنا شنتة توسع هالكمية راح أحطهم في كيس بلاستيك كبير.	ما معنا شنتة لهاد المبلغ، عشان هيك رح احطهم بهاد الكيس البلاستيك الكبير .	ليس لدينا حقيبة لمثل هذه الكمية ولذلك سأضعها في هذه الحقيبة البلاستيكية الكبيرة .	ما عندنا شنطة حق هالكمية فبخليه في هالكيس البلاستيكي الكبير.	معدناش حقيبة تكفي هداك القدر كامل إذن غانديروه فكيس كبير ديال ميكة.	ما عناش ساك يرفع الكمية هاذي مالا تو نحطلك في الشكارة البلاستيك الكبيرة هاذي.	معندناش ساك كبير بزاف، راح نديرو في هاد الساك الكبير تع البلاستيك.	ماعدنا جنطة تحمل هيج مبلغ لذلك راح اخليها بهاي العلاكة.	ما عدنا جنطة للمبلغ لذلك راح اخليها بعلاكة بلاستيكية.	ماعندنش شنطة للكمية هضكي فحنحطها في شكارة البلاستيك هضي.	ما عندنيش حقيبة ليتهز هاد المبلغ اذن نديروه فهاد الحقيبة البلاستيكية الكبيرة.	ما عندنا كيس للكمية دي فبحطه في دا الكيس البلاستيك الكبير.	ما عندنا شنطة للكمية ديك عشان كدا ح اخته في الشنطة البلاستيكية الكبيرة دي.	ما عدنه جنطه لكل هاي الكميي لذلك غاح احطم بهذا الجنطة البلاستيكي الكبيغه.	ماعندنا شنطة بهالمبلغ عشان جي بحطه في الحقيبة البلاستيكية الكبيرة.	ما عندنا شنطة لهذي الكمية لذلك بحطها في هذي الشنطة البلاستيكية الكبيرة.	مابش معانا شنطه ل هذه الكميه لهذا شا اطرحهن في علاقيه بلاستيك كبيره.	ما عندناش ساك ما اكبر، تو نحطه في الساك الكبير هذا متاع البلاستيك.	ما عندناش شنطة للمقدار هدا كله فا حا نحطه في هادي الشكاره البلاستيك الكبيرة.
4374	corpus-6-test-corpus-26-train	بدي إلعب تينيس .	أنا عاوز ألعب تنس.	أنا بحب ألعب تنس.	أنا عايز ألعب تنس.	بدي ألعب تنس.	عايز العب تنس .	حابب العب تنس.	حابب ألعب تنس.	بدي العب تنس .	أود لعب التنس .	بغيت العب تنس.	بغيت نلعب تنيس.	نحب نلعب تنس.	راني حاب نلعب تنس.	اريد العب تنس.	اريد العب تنس.	نبي نلعب تنس.	باغي نلعب التنس.	نفسي العب تنس.	داير العب تنس.	اغيد العب تنس.	اود أن العب التنس.	ابغى العب تنس.	اشتي العب تنس.	نحب نلعب تنس.	نبي نلعب تنس.
4375	corpus-6-test-corpus-26-train	في أناناس، ليمون و عصير بندورة.	فى عصير أناناس، برتقان وطماطم.	في أناناس، برتقال وعصير بندورة.	فيه عصير أناناس وبرتكان وطماطم.	في عصير أناناس، برتقان وبندورة.	فيه عصائر اناناس، برتقان . و أوطة .	في عصير أناناس، وبردقان وبندورة.	في عصير أناناس، برتقال و عصير يندورة.	في أناناس وبرتقان وعصير بندورة.	يوجد عصير أناناس وبرتقال وطماطم .	في عصير اناناس، وبرتقال وطماط.	كاين عصير ديال الأنناس، اللتشين ولا مطيشة.	فما عصير اناناس، بردقان و عصير طماطم.	كاين عصير البانان، عصير التشينا و عصير الطوماطيش.	اكو اناناس، برتقال وعصير طماطة.	اكو عصير اناناس وبرتقال وطماطة.	في أنانس، برتقال و عصير طماطم.	كاين الأناناس والبرتقال وعصير الطماطم.	فيه عصير انأناس، وبرتقال وطماطم.	هناك في أناناس، برتقال و عصير طماطم.	اكو عصير اناناس، برتقال، وطماطه.	هناك الأناناس والبرتقال وعصير الطماطم.	فيه اناناس، برتقال و عصير طماط.	به عصير اناناس، برتقال و طماط.	ثما عصير اناناس، عصير قارس و عصير طماطم.	في عصير أناناس، ليم، و طماطم.
4377	corpus-6-test-corpus-26-train	ميلة الشمال من هالطابق، حد درج الكهربا.	الجنب الشمال من الدور دة، قريب من السلم الكهربا.	الجهة اليسار من هاد الطابق، قريب من الدرج الكهربائي.	على شمال الدور، جنب السلم الكهربائي.	بهالطابق ع طرف اليسار، جنب المصعد.	في الناحية الشمال من الدور ده، جنب الاسانسير .	الطرف اليسار بهاد الطابق، جنب درج الكهربا.	الجهة الشمال من هدا الطابق، جنب الأصانصير.	الجهة الشمال من هاد الطابق .	الجانب الأيسر من هذه الدور بجوار المصعد .	الجهة اليسار من هالطابق، يم اللفت.	على يدك ليسر فهاد الطابق، حدا المصعد.	في الطاق هذا عايسار، بحذى الدروج.	الجهة اليسار تع هاذ الطابق، قريب من السلم المتحرك.	على الجانب الايسر من هذا الطابق، يم المصعد.	الجانب الايسر من هذا الطابق، يم الدرج الكهربائي.	الجانب اليسار من الأرضية هضي، قريب من الدروج.	الجيهة ديال اليسارمن هاد الطابق، قريب من المصعد.	الجهة اليسار من ذا الدور، جمب السلم الكهربائي.	جانب شمالي للطابق دا، جنب المصعد.	يساغ هذا الطابق، قغيب على الدرج الكهربائي.	الجانب الأيسر من هالطابق، بالقرب من المصعد.	الجانب اليسار من هذا الطابق، جنب الدرج الكهربائي.	الجهه اليسار ل هذا الدور، قريب من الدرج الكهربائي.	الشيرة الليسار من الليتاج هذا، بجنب الدروج الي يتحركوا.	جيهة اليسار من الدور هدا، بحدا الاصنصير.
4378	corpus-6-train	عمول معروف جبلي قنينة بيرة . إذا عندك بيرة درافت، بفضل هيدا .					من فضلك هاتلي قزازة بيرة. لو عندك بيرة درافت، يكون أفضل .				من فضلك أحضر لي زجاجة جعة . ويا حبذا لو كانت جعة مسحوبة .	لو سمحت عطني غرشة بير. افضل درافت بير، اذا عندك.	عافاك جيب ليا قرعة ديال الييرة. ايلا عندك بيرة ديال البيسون، كا نفضلها.	عيشك جيبلي دبوزة بيرة. كان عندكم بيرة بريسيون، احسن.													
4380	corpus-6-train	اوه، هيدا بيذكرني، في كافيه حلو بيحط موسيقى كلاسيكية رائعة قريب من هون.					اوه، ده بيفكرني، انه فيه كوفي شوب كويس قريب من هنا بيتلعب فيه مزيكا كلاسيك حلوة .				آه . هذا يذكرني ، هناك مقهى ممتاز قريب من هنا تعزف به الموسيقى الكلاسيكية الجميلة .	اوه، على الطاري، في كوفي شوب قريب من هني زين ويشتغل موسيقى كلاسيكية.	اوه. فكرتيني، كاين واحد المقهى غير قريب كيعزفو فيه موسيقى كلاسيكية واعرة.	اه، فكرتني، فما قهوة باهية يلعبو فيها موسيقى كلاسيك قريبة من هنا.													
4381	corpus-6-train	بدي سيارتي.					عايز عربيتي .				أريد سيارتي .	ابغي سيارتي.	بغيت سيارتي.	نحب كرهبتي.													
4382	corpus-6-test-corpus-26-test	شو اللي عميندق بصالة الحفلات اليوم؟	إيه اللى شغال فى قاعة الحفلات الموسيقية النهاردة؟	شو راح ينعزف بقاعة الحفلات الموسيقية اليوم؟	ايه اللي بيتعزف في قاعة الحفلة إنهاردة؟	اشفي عزف اليوم بقاعة الحفلات؟	ايه اللي حيتعزف في قاعة الحفلات الموسيقية النهاردة؟	شو رح ينعزف بقاعة الحفلات الموسيقية اليوم؟	شو في حفلة بقاعة الحفلات اليوم؟	شو الموسيقى رح تكون بحفلة اليوم بالقاعة؟	ماذا سيعرض في قاعة الحفلات الموسيقية اليوم ؟	شنو ينعرض في قاعة الحفلات اليوم؟	آش غيكون فقاعة الحفلات الموسيقية اليوم؟	شفما في المسرح ليوم؟	واش راهو يصرا في صالة الحفلة اليوم؟	شنو راح يعزفون اليوم بقاعة الحفلات الموسيقية؟	شنو جي يعزفون بقاعة الحفلات اليوم؟	شن المعزوف في قاعة الحفلات اليوم؟	شكون اللي غيلعب في قاعة الحفلات الموسيقية اليوم؟	أيش الحفلة الموسيقية اللي شغالة؟	المشغل شنو في قاعة الموسيقى اليوم؟	اشنو اللعب عد زاويه البنايي اليوم؟	من الذي يمثل في قاعة الحفلات الموسيقية اليوم؟	وش ينعزف اليوم في قاعة الاحتفالات؟	ايش بيعرضو اليوم بصاله الاحتفالات؟	شنوة الي صار في صالة العرض اليوم؟	شن يعرضو في قاعة الحفلات اليوم؟
4386	corpus-6-train	أكيد. فيي إخد رقم تلفونك، احتياط؟					اكيد. ممكن اخد رقم تليفونك، احتياطي؟				بكل تأكيد . هل لي في رقم تليفونك فلربما احتجت إليه ؟	اكيد. ممكن تعطيني رقم تلفونك، احتياط؟	بالتأكيد. ممكن نخد رقم الهاتف ديالك، غير احتياط؟	بالطبيعة. تعطيني نومرو تاليفونك، على ماياتي؟													
4388	corpus-6-train	لاء. بالحقيقة، بسبب التسعيرات العالية، لازم عيش بالبيت بكوينز اللي هوي بعيد لمدة ساعتين روحة رجعة .					لأ . في الواقع، بسبب فوائد البنول العالية عالمباني هنا، مضطر اسكن في مدين كوينز و ده بياخد مني ساعتين في السكة رايح جاي.				لا . في الحقيقة بسبب ارتفاع الأسعار ، يتعين علي أن أعيش بالمنزل القائم بمنطقة كوينز ويتطلب الأمر أن أسافر بالقطار في رحلة تستمر ساعتين .	لا، الصراحة، بسبب الاسعار المرتفعة، لازم اعيش في بيتي في كوينز واللي ياخذ ساعتين روحة ورجعة.	لا، فالصراحة، بسبب المعدلات طالعين، خصني نعيش فداري لي في الكوينز و ساعتين ديال الطريق مشيان ومجيان.	لا. هوا راو، على خاتر غلي الكراء، لازمني نعيش في داري في الكوينز و نعدي ساعتين كل يوم في النقل مشي وجي.													
4390	corpus-6-train	بفتكر نحنا . هلأ بعد عنا نقطة وحدة لنناقشها. هيي كم شهر من الإعلام المسبق كل طرف رح يعطي التاني بحال انتهاء العقد.					متهيألي خلصنا . بس احنا لسه عندا نقطة كمان لازم نقرر فيها، اللي هى انه في حالة انهاء اى طرف لتعاقدة مفروض يبلغ الطرف التاني قبلها بكام شهر.				أظن أننا كذلك . الآن ، لم يعد أمامنا سوى نقطة واحدة للنقاش . وهي كم عدد الشهور التي ينبغي على كل طرف أن يعطيها للآخر كإشعار مسبق في حال إنهاء العقد .	اظن. الحين عندنا نقطة وحدة بس حق نناقشها، اللي هي في حالة بغى طرف من الاطراف ان ينهي العقد، قبل كم شهر لازم يخبر الطرف الثاني.	كا نضن بلي اه. دابا خصنا نتناقشو في نقطة وحدة. هي شحال من شهر خاص تعلم كل مجموعة الخرا في حالة سالا العقد.	ضاهرلي اي. مازالتلنا حاجة برك نتناقشو فيها. هي قبل بقداش من شهر كل طرف يلزمو بعلم الاخر في حالة فسخ العقد.													
4392	corpus-6-train	بدي إخد بطاقتين للسبت الجايي بعد الضهر.					عايز تذكرتين السبت الجاي بعد الضهر .				أريد تذكرتين لظهيرة يوم السبت القادم .	بغيت اخذ تذكرتين حق السبت الجاي الظهر.	بغيت ناخد جوج تذاكر لعشية السبت الماجي.	نحب زوز تساكر لعشية نهار السبت الجاي.													
4393	corpus-6-train	هيدا شوي مطبوخ زيادة .					الاكل استوى زيادة .				نضجت أكثر من اللازم نوعا ما .	هذي شوي مطبوخ زيادة.	طايب واحد شوية كتر من القياس.	طايب برشة هذا.													
4394	corpus-6-train	هيدي قصة حب؟					ديه قصة حب؟				هل هي رواية رومانسية ؟	هي قصة حب؟	واش هادي قصة حب؟	هاذي قصة حب؟													
4395	corpus-6-train	بلعب للتسلاية و بستعملو للشغل كمان .					انا بألعب للمتعه و للشغل في نفس الوقت.				أنا ألعب للمتعة وأستخدمها في عملي أيضا .	انا العب حق استانس وشوي تجارة بعد.	كا نلعب للمتعة و كا نستعملو للخدمة تا هيا.	نلعب عالجو و نستعملو للخدمة زادة.													
4402	corpus-6-train	أي ساعة الباص تبع أوكسفورد بيمشي؟					امتى اتوبيس اوكسفورد حيطلع؟				متي سيغادر الحافلة المتجهة إلى أكسفورد ؟	الساعة كم يمشي الباص لأوكسفورد؟	"اشمن ساعة غيمشي الكار ديال ""أوكسفورد""؟"	وقتاش تخرج الكار الماشية لاكسفورد؟													
4403	corpus-6-train	بدي لاقي الرقم لطيران يونايتد، عمول معروف .					عايز رقم تليفون شركة طيران يونايتد، إذا سمحت .				أريد رقم شركة يونايتيد إيرلاينز ، من فضلك .	بغيت رقم خطوط يونايتد الجوية، لو سمحت.	بغيت الرقم ديال خطوط طيران يونايتد، عافاك.	نحب نلقى نومرو الخطوط الجوية متاع يونايتد، عيشك.													
